ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
10.5261,-17.5501,Gxy,-,16.39,,2.75572,-0.306307,400924,0.55,0.28,99,3,881412,PGC,,,,,
11.9564,-17.5494,Gxy,-,16.93,,3.13017,-0.306296,400925,0.35,0.22,156,3,881418,PGC,,,,,
0.2913,-17.5479,Gxy,-,16.91,,0.0762622,-0.306268,400926,0.36,0.25,34,3,881457,PGC,,,,,
23.8778,-40.7265,Gxy,-,16.8,,6.2512,-0.710812,400927,,,105,3,3325017,PGC,,,,,
1.84455,37.3856,Gxy,-,16.74,,0.482902,0.652501,400928,0.48,0.31,110.5,3,3325390,PGC,,,,,
15.9365,-68.0476,Gxy,-,16.44,,4.17217,-1.18765,400929,,,20.9,3,3325395,PGC,,,,,
11.5673,49.1521,Gxy,-,16.55,,3.0283,0.857866,400930,0.58,0.37,137.6,3,3325927,PGC,,,,,
22.8108,-17.5421,Gxy,-,16.33,,5.97186,-0.306168,400931,0.45,0.27,116,3,881544,PGC,,,,,
3.64904,-17.5364,Gxy,-,16.78,,0.955316,-0.306069,400932,0.44,0.24,124,3,881619,PGC,,,,,
21.2273,-34.7253,Gxy,-,16.54,,5.55729,-0.60607,400933,,,35,3,3318247,PGC,,,,,
4.07987,-42.4144,Gxy,-,16.82,,1.06811,-0.740271,400934,,,50,3,3314289,PGC,,,,,
4.11937,-54.8502,Gxy,-,16.46,,1.07845,-0.957317,400935,,,170,3,3314384,PGC,,,,,
4.2487,-45.5663,Gxy,-,16.71,,1.11231,-0.795282,400936,,,10,3,3315382,PGC,,,,,
4.62254,-30.2132,Gxy,-,16.87,,1.21018,-0.52732,400937,,,50,3,3316081,PGC,,,,,
10.5008,-17.5271,Gxy,-,16.67,,2.74911,-0.305905,400938,0.43,0.27,151,3,881757,PGC,,,,,
3.82856,-59.2427,Gxy,-,16.96,,1.00231,-1.03398,400939,,,110,3,3313707,PGC,,,,,
2.30874,-41.6785,Gxy,-,16.76,,0.604427,-0.727427,400940,,,80,3,3311631,PGC,,,,,
2.75075,-40.3233,Gxy,-,16.7,,0.720145,-0.703774,400941,,,65,3,3312382,PGC,,,,,
2.94641,-51.4639,Gxy,-,16.95,,0.771368,-0.898214,400942,,,125,3,3312992,PGC,,,,,
2.97309,-51.4772,Gxy,-,16.57,,0.778353,-0.898446,400943,,,30,3,3313021,PGC,,,,,
14.703,-17.5204,Gxy,-,16.59,,3.84924,-0.305789,400944,0.43,0.34,168,3,881863,PGC,,,,,
23.9309,-17.5207,Gxy,-,16.59,,6.26509,-0.305793,400945,0.68,0.35,38,3,881873,PGC,,,,,
3.01353,-50.9231,Gxy,-,16.97,,0.78894,-0.888776,400946,,,85,3,3313085,PGC,,,,,
1.89063,-17.5184,Gxy,-,16.89,,0.494966,-0.305754,400947,0.44,0.28,176,3,881899,PGC,,,,,
1.4311,-17.5126,Gxy,-,16.65,,0.374661,-0.305652,400948,0.49,0.26,48,3,881997,PGC,,,,,
0.71113,-17.5114,Gxy,-,16.92,,0.186173,-0.305632,400949,0.48,0.29,17,3,882028,PGC,,,,,
4.32032,-17.51,Gxy,-,16.98,,1.13106,-0.305608,400950,0.36,0.32,48,3,882043,PGC,,,,,
1.63139,-42.4803,Gxy,-,16.86,,0.427097,-0.741421,400951,,,50,3,3310732,PGC,,,,,
1.27852,-61.4004,Gxy,-,16.42,,0.334716,-1.07164,400952,,,100,3,3309657,PGC,,,,,
1.13452,-8.42088,Gxy,-,16.92,,0.297017,-0.146972,400953,,,140,3,3308994,PGC,,,,,
1.13793,-8.48521,Gxy,-,16.96,,0.297909,-0.148095,400954,,,117.5,3,3309021,PGC,,,,,
1.13801,-8.38836,Gxy,-,16.59,,0.29793,-0.146405,400955,,,15,3,3309022,PGC,,,,,
1.15006,-48.4443,Gxy,-,16.93,,0.301085,-0.845513,400956,,,105,3,3309115,PGC,,,,,
0.42048,-41.1578,Gxy,-,16.75,,0.110081,-0.71834,400957,,,140,3,3307806,PGC,,,,,
0.45544,-40.5064,Gxy,-,16.98,,0.119234,-0.70697,400958,,,175,3,3307987,PGC,,,,,
0.46996,-16.2882,Gxy,-,16.69,,0.123035,-0.284283,400959,,,85,3,3308066,PGC,,,,,
15.872,-17.4867,Gxy,-,16.51,,4.15528,-0.3052,400960,0.35,0.18,94,3,882457,PGC,,,,,
3.85115,-17.4848,Gxy,-,16.39,,1.00823,-0.305167,400961,0.58,0.25,79,3,882480,PGC,,,,,
5.98832,-17.483,Gxy,-,16.84,,1.56774,-0.305136,400962,0.42,0.24,60,3,882506,PGC,,,,,
0.09044,-8.0227,Gxy,-,16.17,,0.0236771,-0.140023,400963,,,95,3,3306335,PGC,,,,,
0.10095,-56.4382,Gxy,-,16.3,,0.0264286,-0.985032,400964,,,0,3,3306422,PGC,,,,,
2.43829,-17.4761,Gxy,-,16.76,,0.638343,-0.305016,400965,0.35,0.29,104,3,882632,PGC,,,,,
22.7638,-17.4729,Gxy,-,16.7,,5.95954,-0.30496,400966,0.35,0.26,174,3,882677,PGC,,,,,
10.8276,-17.4652,Gxy,-,16.65,,2.83467,-0.304825,400967,0.45,0.3,126,3,882791,PGC,,,,,
2.00972,-17.4562,Gxy,-,16.95,,0.526143,-0.304668,400968,0.38,0.19,38,3,882953,PGC,,,,,
9.82876,-17.4562,Gxy,-,16.52,,2.57316,-0.304668,400969,0.48,0.32,79,3,882963,PGC,,,,,
13.6925,-17.4541,Gxy,-,16.99,,3.5847,-0.304632,400970,0.37,0.26,93,3,882991,PGC,,,,,
14.792,-17.4482,Gxy,-,16.51,,3.87254,-0.304529,400971,0.51,0.28,139,3,883088,PGC,,,,,
13.7727,-0.87448,Gxy,-,16.72,,3.60569,-0.0152626,400972,0.39,0.34,155.8,3,3301106,PGC,,,,,
3.91302,-17.4454,Gxy,-,16.9,,1.02443,-0.30448,400973,0.42,0.39,,3,883156,PGC,,,,,
10.6171,-17.444,Gxy,-,16.6,,2.77954,-0.304454,400974,0.44,0.38,63,3,883171,PGC,,,,,
11.6201,-17.443,Gxy,-,16.95,,3.04215,-0.304438,400975,0.51,0.19,113,3,883187,PGC,,,,,
12.7128,-17.4405,Gxy,-,16.63,,3.3282,-0.304394,400976,0.4,0.35,165,3,883213,PGC,,,,,
13.2922,1.85787,Gxy,-,16.97,,3.4799,0.0324259,400977,0.55,0.43,144.8,3,3298884,PGC,,,,,
1.13162,-17.4365,Gxy,-,16.96,,0.296257,-0.304324,400978,0.44,0.29,126,3,883288,PGC,,,,,
23.5264,-17.4349,Gxy,-,16.58,,6.15918,-0.304296,400979,0.49,0.21,145,3,883312,PGC,,,,,
1.36347,-17.4334,Gxy,-,16.61,,0.356956,-0.304271,400980,0.72,0.16,115,3,883332,PGC,,,,,
15.7182,-17.4302,Gxy,-,16.13,,4.11503,-0.304215,400981,0.51,0.41,73,3,883382,PGC,,,,,
4.10882,-17.4187,Gxy,-,16.6,,1.07569,-0.304014,400982,0.5,0.28,124,3,883572,PGC,,,,,
9.85773,-17.4174,Gxy,-,16.76,,2.58075,-0.303991,400983,0.55,0.19,45,3,883604,PGC,,,,,
23.2866,-17.413,Gxy,-,16.99,,6.09642,-0.303915,400984,0.76,0.2,61,3,883686,PGC,,,,,
10.3417,-2.2721,Gxy,-,16.95,,2.70745,-0.0396556,400985,,,155,3,3281267,PGC,,,,,
11.7155,-17.3977,Gxy,-,16.75,,3.06711,-0.303647,400986,0.4,0.28,135,3,883937,PGC,,,,,
13.6163,-3.8016,Gxy,-,16.9,,3.56473,-0.0663504,400987,,,175,3,3275171,PGC,,,,,
9.59579,-17.3868,Gxy,-,16.72,,2.51217,-0.303456,400988,0.66,0.28,132,3,884128,PGC,,,,,
13.6862,-5.16889,Gxy,-,16.17,,3.58305,-0.0902141,400989,,,170,3,3274956,PGC,,,,,
13.4565,-5.0532,Gxy,-,16.72,,3.52289,-0.088195,400990,,,120,3,3273958,PGC,,,,,
9.99341,-17.3828,Gxy,-,16.47,,2.61627,-0.303388,400991,0.49,0.23,70,3,884195,PGC,,,,,
8.7613,-17.3742,Gxy,-,16.69,,2.2937,-0.303237,400992,0.46,0.33,61,3,884340,PGC,,,,,
9.59621,-17.3731,Gxy,-,16.33,,2.51228,-0.303217,400993,0.83,0.21,83.3,3,884371,PGC,,,,,
4.85127,-17.3722,Gxy,-,16.82,,1.27006,-0.303203,400994,0.39,0.18,5,3,884382,PGC,,,,,
13.0883,-17.3708,Gxy,-,16.12,,3.42651,-0.303178,400995,0.58,0.48,74,3,884399,PGC,,,,,
21.0367,-17.3638,Gxy,-,16.72,,5.50738,-0.303056,400996,0.58,0.33,147,3,884522,PGC,,,,,
20.9226,-17.3601,Gxy,-,16.95,,5.47753,-0.30299,400997,0.54,0.3,142,3,884587,PGC,,,,,
13.2457,-17.3568,Gxy,-,16.46,,3.46772,-0.302934,400998,0.56,0.38,151,3,884641,PGC,,,,,
10.993,-17.355,Gxy,-,16.29,,2.87795,-0.302902,400999,0.63,0.43,170,3,884658,PGC,,,,,
22.2832,-17.3549,Gxy,-,16.76,,5.83372,-0.302901,401000,0.54,0.26,91,3,884664,PGC,,,,,
12.248,-4.2989,Gxy,-,16.18,,3.20651,-0.07503,401001,,,90,3,3269045,PGC,,,,,
22.4394,-17.3451,Gxy,-,16.55,,5.87462,-0.302728,401002,0.46,0.3,139,3,884828,PGC,,,,,
12.8323,-17.3363,Gxy,-,16.76,,3.35949,-0.302575,401003,0.52,0.24,176.5,3,884957,PGC,,,,,
11.3406,-5.6256,Gxy,-,16.75,,2.96897,-0.0981852,401004,,,0,3,3264208,PGC,,,,,
4.27967,-17.3267,Gxy,-,16.65,,1.12041,-0.302409,401005,0.6,0.49,71,3,885102,PGC,,,,,
11.0838,-4.1656,Gxy,-,16.45,,2.90174,-0.0727034,401006,,,60,3,3261915,PGC,,,,,
11.0027,-2.8728,Gxy,-,16.65,,2.88049,-0.0501398,401007,,,20,3,3262355,PGC,,,,,
11.1512,-5.5552,Gxy,-,16.87,,2.91937,-0.0969565,401008,,,25,3,3261419,PGC,,,,,
11.1477,-6.4295,Gxy,-,16.91,,2.91847,-0.112216,401009,,,15,3,3261445,PGC,,,,,
11.0899,-4.95289,Gxy,-,16.41,,2.90333,-0.0864442,401010,,,60,3,3261876,PGC,,,,,
10.2956,-5.3403,Gxy,-,16.52,,2.69539,-0.0932058,401011,,,155,3,3258651,PGC,,,,,
14.246,-17.3155,Gxy,-,16.98,,3.7296,-0.302212,401012,0.35,0.25,62.5,3,885276,PGC,,,,,
10.5739,-4.6203,Gxy,-,16.84,,2.76825,-0.0806394,401013,,,80,3,3260851,PGC,,,,,
10.0238,-4.87004,Gxy,-,16.81,,2.62422,-0.0849982,401014,,,135,3,3256736,PGC,,,,,
13.4574,-17.2986,Gxy,-,16.26,,3.52314,-0.301917,401015,0.85,0.26,142,3,885537,PGC,,,,,
10.547,-17.2963,Gxy,-,16.96,,2.76119,-0.301878,401016,0.58,0.47,107,3,885566,PGC,,,,,
4.7685,-17.2963,Gxy,-,16.56,,1.24839,-0.301877,401017,0.52,0.27,128,3,885569,PGC,,,,,
14.8008,-17.2955,Gxy,-,16.51,,3.87485,-0.301863,401018,0.36,0.25,154,3,885577,PGC,,,,,
23.3614,-26.5252,Gxy,-,16.7,,6.116,-0.462952,401019,,,5,3,3254224,PGC,,,,,
23.7375,-25.2745,Gxy,-,16.38,,6.21446,-0.441123,401020,,,145,3,3254487,PGC,,,,,
23.6405,-25.9385,Gxy,-,16.98,,6.18906,-0.452712,401021,,,,3,3253656,PGC,,,,,
23.571,-26.186,Gxy,-,16.65,,6.17086,-0.457033,401022,,,80,3,3253772,PGC,,,,,
3.90077,-17.2844,Gxy,-,16.98,,1.02122,-0.30167,401023,0.54,0.2,147,3,885762,PGC,,,,,
21.6298,-17.2812,Gxy,-,16.41,,5.66267,-0.301613,401024,0.89,0.2,133,3,885805,PGC,,,,,
0.93501,-17.2781,Gxy,-,16.94,,0.244785,-0.301559,401025,0.32,0.27,0,3,885854,PGC,,,,,
13.4841,-17.2761,Gxy,-,16.82,,3.53014,-0.301524,401026,0.51,0.22,75,3,885856,PGC,,,,,
5.42616,-17.2771,Gxy,-,16.85,,1.42057,-0.301543,401027,0.63,0.23,5,3,885861,PGC,,,,,
23.0372,-25.2097,Gxy,-,16.3,,6.03113,-0.439992,401028,,,80,3,3252563,PGC,,,,,
10.2526,-17.2748,Gxy,-,16.96,,2.68411,-0.301502,401029,0.32,0.21,30,3,885902,PGC,,,,,
23.1957,-24.0771,Gxy,-,16.91,,6.07263,-0.420225,401030,,,70,3,3251742,PGC,,,,,
23.1686,-25.4745,Gxy,-,16.82,,6.06554,-0.444614,401031,,,10,3,3251893,PGC,,,,,
13.3529,-17.2626,Gxy,-,16.66,,3.49577,-0.301289,401032,0.45,0.27,178,3,886102,PGC,,,,,
13.1186,-17.2634,Gxy,-,16.41,,3.43444,-0.301304,401033,0.59,0.26,46,3,886105,PGC,,,,,
13.3331,-17.2619,Gxy,-,16.61,,3.4906,-0.301276,401034,0.59,0.43,38,3,886125,PGC,,,,,
9.38605,-17.2613,Gxy,-,16.53,,2.45726,-0.301266,401035,0.37,0.27,75,3,886127,PGC,,,,,
0.63406,-17.2609,Gxy,-,16.27,,0.165997,-0.301259,401036,0.69,0.34,155.5,3,886133,PGC,,,,,
5.21039,-17.2599,Gxy,-,16.95,,1.36408,-0.301243,401037,0.5,0.21,63,3,886151,PGC,,,,,
13.0844,-17.2571,Gxy,-,16.79,,3.42549,-0.301192,401038,0.5,0.21,175,3,886203,PGC,,,,,
11.6306,-17.2568,Gxy,-,16.37,,3.04488,-0.301187,401039,0.52,0.29,37,3,886206,PGC,,,,,
2.52839,-17.2507,Gxy,-,16.8,,0.661931,-0.301082,401040,0.45,0.35,23,3,886298,PGC,,,,,
22.9116,-26.5655,Gxy,-,16.92,,5.99824,-0.463656,401041,,,95,3,3250503,PGC,,,,,
23.6305,-17.2395,Gxy,-,16.46,,6.18645,-0.300885,401042,0.52,0.3,95,3,886494,PGC,,,,,
4.88178,-17.2382,Gxy,-,16.86,,1.27805,-0.300863,401043,0.71,0.17,126,3,886528,PGC,,,,,
21.193,-17.2362,Gxy,-,16.92,,5.54831,-0.300828,401044,0.68,0.2,108,3,886553,PGC,,,,,
9.71208,-17.235,Gxy,-,16.86,,2.54262,-0.300808,401045,0.46,0.25,140,3,886574,PGC,,,,,
22.3319,-24.3715,Gxy,-,16.7,,5.84647,-0.425363,401046,,,90,3,3247939,PGC,,,,,
22.3173,-25.14,Gxy,-,16.43,,5.84266,-0.438776,401047,,,80,3,3247992,PGC,,,,,
4.07888,-17.2302,Gxy,-,16.98,,1.06785,-0.300724,401048,0.63,0.14,11,3,886645,PGC,,,,,
8.76813,-17.2288,Gxy,-,16.99,,2.29549,-0.300698,401049,0.39,0.24,118,3,886665,PGC,,,,,
2.92325,-17.2243,Gxy,-,16.61,,0.765305,-0.300622,401050,0.37,0.34,,3,886724,PGC,,,,,
13.1972,-17.2175,Gxy,-,16.79,,3.45501,-0.300502,401051,0.78,0.19,65,3,886844,PGC,,,,,
13.6612,-17.2161,Gxy,-,16.93,,3.5765,-0.300477,401052,0.41,0.21,72,3,886879,PGC,,,,,
3.26837,-26.1196,Gxy,-,16.91,,0.855657,-0.455873,401053,,,140,3,3243981,PGC,,,,,
22.1138,-23.671,Gxy,-,16.4,,5.78938,-0.413136,401054,,,80,3,3244579,PGC,,,,,
2.83452,-17.2097,Gxy,-,16.77,,0.742076,-0.300366,401055,0.58,0.33,78,3,887004,PGC,,,,,
13.1632,-17.2106,Gxy,-,16.46,,3.44611,-0.300382,401056,0.69,0.23,77,3,887005,PGC,,,,,
9.17976,-17.2086,Gxy,-,16.96,,2.40326,-0.300347,401057,0.43,0.18,174,3,887031,PGC,,,,,
3.46286,-26.9646,Gxy,-,16.75,,0.906575,-0.470621,401058,,,47.5,3,3243352,PGC,,,,,
2.46244,-25.6268,Gxy,-,16.56,,0.644665,-0.447271,401059,,,80,3,3241798,PGC,,,,,
13.0892,-17.1991,Gxy,-,16.94,,3.42674,-0.300181,401060,0.44,0.16,142,3,887186,PGC,,,,,
2.23956,-26.6635,Gxy,-,16.81,,0.586315,-0.465366,401061,,,35,3,3240507,PGC,,,,,
2.20542,-26.8904,Gxy,-,16.47,,0.577378,-0.469326,401062,,,10,3,3240576,PGC,,,,,
2.17793,-26.8652,Gxy,-,16.53,,0.570181,-0.468886,401063,,,130,3,3240616,PGC,,,,,
2.15535,-26.696,Gxy,-,16.69,,0.564269,-0.465933,401064,,,50,3,3240655,PGC,,,,,
2.10269,-25.9639,Gxy,-,16.81,,0.550483,-0.453156,401065,,,160,3,3240772,PGC,,,,,
1.72451,-26.5803,Gxy,-,16.88,,0.451476,-0.463913,401066,,,125,3,3239940,PGC,,,,,
2.18142,-25.7045,Gxy,-,16.89,,0.571094,-0.448628,401067,,,130,3,3240167,PGC,,,,,
2.15563,-25.6002,Gxy,-,16.57,,0.564343,-0.446808,401068,,,110,3,3240184,PGC,,,,,
1.77219,-26.6073,Gxy,-,16.82,,0.463958,-0.464385,401069,,,60,3,3239874,PGC,,,,,
1.96504,-26.6356,Gxy,-,16.52,,0.514446,-0.464878,401070,,,167.5,3,3239452,PGC,,,,,
1.95738,-27.0097,Gxy,-,16.8,,0.512441,-0.471408,401071,,,95,3,3239460,PGC,,,,,
10.9704,-17.1754,Gxy,-,16.83,,2.87204,-0.299767,401072,0.68,0.25,30,3,887625,PGC,,,,,
10.8105,-17.1715,Gxy,-,16.61,,2.83018,-0.2997,401073,0.49,0.42,143,3,887693,PGC,,,,,
22.8033,-17.1694,Gxy,-,16.76,,5.96989,-0.299663,401074,0.4,0.34,3,3,887731,PGC,,,,,
5.11751,-17.1604,Gxy,-,16.72,,1.33976,-0.299506,401075,0.45,0.2,158,3,887866,PGC,,,,,
0.98376,-25.8525,Gxy,-,16.7,,0.257548,-0.451211,401076,,,40,3,3236860,PGC,,,,,
14.158,-17.1546,Gxy,-,16.98,,3.70655,-0.299404,401077,0.58,0.28,52,3,887972,PGC,,,,,
10.281,-17.1542,Gxy,-,16.23,,2.69157,-0.299397,401078,0.55,0.32,158,3,887976,PGC,,,,,
0.72696,-26.5486,Gxy,-,16.91,,0.190318,-0.46336,401079,,,,3,3236166,PGC,,,,,
10.6168,-17.1505,Gxy,-,16.73,,2.77948,-0.299333,401080,0.37,0.29,101,3,888034,PGC,,,,,
3.25639,-17.1482,Gxy,-,16.61,,0.852521,-0.299293,401081,0.49,0.4,122,3,888068,PGC,,,,,
1.27803,-17.1443,Gxy,-,16.63,,0.334588,-0.299225,401082,0.6,0.18,135,3,888121,PGC,,,,,
0.2558,-25.8431,Gxy,-,16.8,,0.0669683,-0.451047,401083,,,140,3,3235334,PGC,,,,,
8.71346,-17.1367,Gxy,-,16.8,,2.28118,-0.299092,401084,0.51,0.23,106,3,888268,PGC,,,,,
0.327,-26.4292,Gxy,-,16.52,,0.0856084,-0.461276,401085,,,15,3,3235153,PGC,,,,,
0.97681,-17.1345,Gxy,-,16.75,,0.255728,-0.299054,401086,0.38,0.33,96,3,888302,PGC,,,,,
13.1792,-17.1333,Gxy,-,16.68,,3.4503,-0.299032,401087,0.37,0.3,104,3,888323,PGC,,,,,
0.10279,-26.3158,Gxy,-,16.89,,0.0269104,-0.459297,401088,,,5,3,3233843,PGC,,,,,
0.66844,-17.1261,Gxy,-,16.88,,0.174997,-0.298907,401089,0.38,0.28,62,3,888439,PGC,,,,,
14.0271,-17.1251,Gxy,-,16.88,,3.67229,-0.298889,401090,0.43,0.24,49,3,888453,PGC,,,,,
5.85366,-17.1234,Gxy,-,16.76,,1.53248,-0.29886,401091,0.41,0.25,107,3,888470,PGC,,,,,
23.8093,-29.717,Gxy,-,16.98,,6.23326,-0.518659,401092,,,15,3,3231899,PGC,,,,,
20.971,-17.1186,Gxy,-,16.94,,5.4902,-0.298776,401093,0.56,0.28,127,3,888542,PGC,,,,,
10.4857,-17.1149,Gxy,-,16.61,,2.74516,-0.298711,401094,0.51,0.28,175,3,888592,PGC,,,,,
15.8674,-17.1126,Gxy,-,16.92,,4.15408,-0.298672,401095,0.46,0.27,69,3,888632,PGC,,,,,
2.02206,-17.1086,Gxy,-,16.93,,0.529374,-0.298602,401096,0.54,0.23,115,3,888692,PGC,,,,,
23.537,-31.6319,Gxy,-,16.81,,6.16198,-0.552081,401097,,,90,3,3230973,PGC,,,,,
11.7672,-17.0994,Gxy,-,16.33,,3.08065,-0.298441,401098,0.69,0.19,49,3,888818,PGC,,,,,
11.9051,-17.0944,Gxy,-,16.34,,3.11675,-0.298353,401099,0.71,0.22,71,3,888878,PGC,,,,,
21.6709,-17.0919,Gxy,-,16.5,,5.67344,-0.298311,401100,0.72,0.19,3,3,888917,PGC,,,,,
5.03958,-17.0909,Gxy,-,16.55,,1.31936,-0.298292,401101,0.38,0.29,28,3,888936,PGC,,,,,
1.02682,-17.0861,Gxy,-,16.67,,0.268821,-0.298209,401102,0.47,0.29,171,3,889011,PGC,,,,,
23.3088,-17.0786,Gxy,-,16.75,,6.10224,-0.298078,401103,0.58,0.33,2,3,889123,PGC,,,,,
9.23204,-17.078,Gxy,-,16.78,,2.41694,-0.298067,401104,0.51,0.31,132,3,889131,PGC,,,,,
22.9817,-30.8124,Gxy,-,16.51,,6.01658,-0.537778,401105,,,165,3,3227844,PGC,,,,,
22.9052,-30.2995,Gxy,-,16.99,,5.99658,-0.528826,401106,,,150,3,3227918,PGC,,,,,
23.0816,-30.2925,Gxy,-,16.41,,6.04274,-0.528704,401107,,,160,3,3227651,PGC,,,,,
23.0233,-29.0391,Gxy,-,16.34,,6.0275,-0.506828,401108,,,65,3,3227800,PGC,,,,,
22.9946,-27.7291,Gxy,-,16.38,,6.01998,-0.483965,401109,,,125,3,3226957,PGC,,,,,
11.637,-17.0592,Gxy,-,16.83,,3.04657,-0.297739,401110,0.4,0.24,109,3,889392,PGC,,,,,
23.1909,-29.9896,Gxy,-,16.49,,6.07136,-0.523417,401111,,,10,3,3227466,PGC,,,,,
8.90724,-17.0553,Gxy,-,16.82,,2.33191,-0.297672,401112,0.39,0.32,129,3,889451,PGC,,,,,
23.1573,-28.27,Gxy,-,16.9,,6.06256,-0.493405,401113,,,40,3,3226529,PGC,,,,,
2.93669,-17.0518,Gxy,-,16.72,,0.768824,-0.297611,401114,0.65,0.34,17,3,889516,PGC,,,,,
22.7769,-31.2813,Gxy,-,16.61,,5.96297,-0.545962,401115,,,60,3,3225777,PGC,,,,,
2.75961,-17.0493,Gxy,-,16.36,,0.722464,-0.297567,401116,0.46,0.42,,3,889558,PGC,,,,,
22.194,-32.1482,Gxy,-,16.38,,5.81038,-0.561092,401117,,,,3,3223922,PGC,,,,,
23.0874,-17.0435,Gxy,-,16.78,,6.04427,-0.297466,401118,0.33,0.27,68,3,889648,PGC,,,,,
5.29255,-17.04,Gxy,-,16.98,,1.38559,-0.297404,401119,0.35,0.16,64,3,889703,PGC,,,,,
22.2473,-31.244,Gxy,-,16.96,,5.82432,-0.54531,401120,,,50,3,3223819,PGC,,,,,
10.2042,-17.0363,Gxy,-,16.99,,2.67146,-0.297339,401121,0.44,0.3,8,3,889760,PGC,,,,,
13.3218,-17.0211,Gxy,-,16.76,,3.48765,-0.297074,401122,0.58,0.35,72,3,890024,PGC,,,,,
21.0531,-17.0203,Gxy,-,16.61,,5.51169,-0.297061,401123,0.41,0.25,136,3,890036,PGC,,,,,
5.0881,-17.0137,Gxy,-,16.55,,1.33206,-0.296945,401124,0.52,0.23,141,3,890134,PGC,,,,,
21.7909,-27.4657,Gxy,-,16.83,,5.70485,-0.479368,401125,,,5,3,3219129,PGC,,,,,
9.22907,-17.0127,Gxy,-,16.89,,2.41616,-0.296928,401126,0.54,0.15,108,3,890165,PGC,,,,,
21.7184,-28.2772,Gxy,-,16.39,,5.68587,-0.49353,401127,,,10,3,3219234,PGC,,,,,
3.38817,-31.1799,Gxy,-,16.94,,0.887021,-0.544192,401128,,,10,3,3218284,PGC,,,,,
2.75518,-17.005,Gxy,-,16.49,,0.721304,-0.296793,401129,0.76,0.19,4,3,890284,PGC,,,,,
8.45874,-17.0031,Gxy,-,16.39,,2.21449,-0.296761,401130,0.69,0.29,90,3,890306,PGC,,,,,
11.6637,-17.001,Gxy,-,16.68,,3.05354,-0.296723,401131,0.71,0.24,110,3,890346,PGC,,,,,
13.8762,-16.9985,Gxy,-,16.94,,3.63277,-0.29668,401132,0.6,0.16,40,3,890396,PGC,,,,,
3.32889,-28.0522,Gxy,-,16.87,,0.871501,-0.489603,401133,,,160,3,3216495,PGC,,,,,
3.54347,-29.446,Gxy,-,16.87,,0.927678,-0.51393,401134,,,85,3,3217040,PGC,,,,,
3.53359,-30.1103,Gxy,-,16.94,,0.925092,-0.525524,401135,,,165,3,3217093,PGC,,,,,
3.52786,-29.8175,Gxy,-,16.5,,0.923592,-0.520414,401136,,,30,3,3217130,PGC,,,,,
3.51652,-28.1668,Gxy,-,16.78,,0.920623,-0.491604,401137,,,95,3,3215847,PGC,,,,,
3.28326,-30.6795,Gxy,-,16.75,,0.859555,-0.535459,401138,,,135,3,3214029,PGC,,,,,
3.28385,-31.3921,Gxy,-,16.71,,0.85971,-0.547895,401139,,,80,3,3214033,PGC,,,,,
3.25128,-28.1889,Gxy,-,16.4,,0.851183,-0.491989,401140,,,60,3,3214203,PGC,,,,,
3.25168,-29.2372,Gxy,-,16.88,,0.851288,-0.510286,401141,,,85,3,3214208,PGC,,,,,
20.3007,-16.9792,Gxy,-,16.57,,5.3147,-0.296343,401142,0.79,0.27,158,3,890695,PGC,,,,,
2.6089,-28.3061,Gxy,-,16.86,,0.683008,-0.494035,401143,,,75,3,3212819,PGC,,,,,
12.5722,-16.9795,Gxy,-,16.87,,3.2914,-0.296347,401144,0.5,0.23,9.8,3,890692,PGC,,,,,
8.96818,-16.9777,Gxy,-,16.6,,2.34786,-0.296317,401145,0.68,0.33,126,3,890719,PGC,,,,,
1.16131,-16.9771,Gxy,-,16.79,,0.30403,-0.296305,401146,0.47,0.3,75,3,890730,PGC,,,,,
9.5842,-16.977,Gxy,-,16.49,,2.50914,-0.296304,401147,0.52,0.31,143,3,890733,PGC,,,,,
2.78888,-30.0814,Gxy,-,16.42,,0.730127,-0.52502,401148,,,10,3,3213170,PGC,,,,,
5.37445,-16.9752,Gxy,-,16.54,,1.40703,-0.296273,401149,0.45,0.28,106,3,890756,PGC,,,,,
2.24277,-31.3183,Gxy,-,16.94,,0.587156,-0.546607,401150,,,175,3,3212005,PGC,,,,,
2.75587,-28.6887,Gxy,-,16.8,,0.721485,-0.500712,401151,,,85,3,3212495,PGC,,,,,
2.75159,-27.9083,Gxy,-,16.49,,0.720365,-0.487092,401152,,,85,3,3212502,PGC,,,,,
2.68373,-28.1004,Gxy,-,16.98,,0.702599,-0.490445,401153,,,40,3,3212678,PGC,,,,,
1.09452,-16.9683,Gxy,-,16.79,,0.286545,-0.296154,401154,0.37,0.26,148,3,890877,PGC,,,,,
4.0394,-16.9679,Gxy,-,16.69,,1.05751,-0.296145,401155,0.56,0.35,137,3,890888,PGC,,,,,
13.6426,-16.9621,Gxy,-,16.93,,3.57162,-0.296045,401156,0.44,0.19,63,3,890972,PGC,,,,,
2.40201,-29.0802,Gxy,-,16.9,,0.628845,-0.507545,401157,,,20,3,3210789,PGC,,,,,
2.27821,-29.5286,Gxy,-,16.66,,0.596434,-0.515372,401158,,,160,3,3211129,PGC,,,,,
1.82882,-29.8345,Gxy,-,16.49,,0.478784,-0.52071,401159,,,75,3,3208953,PGC,,,,,
