ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
0.20525,31.0611,Gxy,And,13.7,,0.0537343,0.542119,106,1.1,1,,2,39,NGC,,,,,
0.213306,22.0236,Gxy,Peg,13.9,,0.0558433,0.384385,107,0.9,0.5,,2,41,NGC,,,,,
0.215639,22.1006,Gxy,Peg,13.9,,0.0564541,0.385727,108,1.1,0.6,115,2,42,NGC,,,,,
0.216917,72.5222,PN,Cep,12.3,,0.0567886,1.26575,109,0.633333,0.583333,,2,40,NGC,2,C,,,
0.216917,30.9158,Gxy,And,12.7,,0.0567886,0.539583,110,1.6,1.5,,2,43,NGC,,,,,
0.220361,31.2864,**,And,,,0.0576904,0.54605,111,,,,2,44,NGC,,,,,
0.22415,17.4864,Gxy,Peg,14.21,,0.0586823,0.305196,112,1.17,0.83,12.7,3,4,IC,,,,,
0.22929,48.1512,Gxy,And,15.1,,0.060028,0.840397,113,1.02,0.44,68.7,3,1534,IC,,,,,
0.233889,48.235,Gxy,And,13.8,,0.061232,0.84186,114,1.4,0.9,15,2,48,NGC,,,,,
0.2326,48.1579,Gxy,And,15.16,,0.0608945,0.840514,115,0.98,0.29,170.2,3,1535,IC,,,,,
0.234417,-23.1811,Gxy,Cet,10.8,,0.0613701,-0.404587,116,8.5,5.9,142,2,45,NGC,,,,,
0.236083,5.98778,*,Psc,,,0.0618065,0.104506,117,,,,2,46,NGC,,,,,
0.23861,48.1432,Gxy,And,15.47,,0.062468,0.840257,118,0.81,0.54,171.5,3,1536,IC,,,,,
0.239528,48.2467,Gxy,And,13.8,,0.0627082,0.842063,119,1.1,1,165,2,49,NGC,,,,,
0.241917,-7.16806,Gxy,Cet,13.1,,0.0633336,-0.125106,120,2.2,2.1,,2,47,NGC,,,58,NGC,
0.241917,-7.16806,Gxy,Cet,13.1,,0.0633336,-0.125106,121,2.3,2,80,2,58,NGC,,,,,
0.242972,48.2556,Gxy,And,13.2,,0.06361,0.842218,122,1.3,1,,2,51,NGC,,,,,
0.2445,18.58,Gxy,Peg,13.7,,0.0640099,0.324282,123,2.6,0.5,127,2,52,NGC,,,,,
0.245722,-7.34556,Gxy,Cet,12.3,,0.0643299,-0.128204,124,2.3,1.7,170,2,50,NGC,,,,,
0.244944,-60.3286,Gxy,Tuc,13.1,,0.0641263,-1.05293,125,2,1.4,160,2,53,NGC,,,,,
0.252333,-39.2206,Gxy,Scl,8.3,,0.0660607,-0.684528,126,32.4,5.6,108,2,55,NGC,72,C,,,
0.252111,-7.1075,Gxy,Cet,13.7,,0.0660025,-0.124049,127,1.3,0.4,,2,54,NGC,,,,,
0.255722,12.4444,NF,Psc,,,0.0669479,0.217197,128,,,,2,56,NGC,,,,,
0.258528,17.3272,Gxy,Psc,12.2,,0.0676824,0.302417,129,2.2,1.9,40,2,57,NGC,,,,,
0.256972,-21.4439,Gxy,Cet,12.2,,0.0672752,-0.374266,130,2.6,1.3,127,2,59,NGC,,,,,
0.266194,-0.303333,Gxy,Psc,14.3,,0.0696895,-0.00529417,131,1.3,1.2,155,2,60,NGC,,,,,
0.266667,-39.3167,,Phe,,,0.0698132,-0.686205,132,,,,1,1537,IC,,,,,
0.273472,-6.3225,Gxy,Psc,13.4,,0.0715949,-0.110348,133,1,0.6,25,2,61,NGC,,,,,
0.284861,-13.4867,Gxy,Cet,13.5,,0.0745765,-0.235387,134,1,0.8,,2,62,NGC,,,,,
0.29304,-9.54345,Gxy,Cet,14.63,,0.0767177,-0.166565,135,0.98,0.66,10.1,3,5,IC,,,,,
0.29175,-6.82556,Gxy,Cet,13.2,,0.07638,-0.119128,136,1.5,1.1,,2,64,NGC,,,,,
0.295972,11.4494,Gxy,Psc,11.8,,0.0774853,0.199831,137,1.7,1.1,108,2,63,NGC,,,,,
0.3,30.0667,?,And,,,0.0785398,0.524762,138,,,,1,1538,IC,,,,,
0.303472,30.0553,Gxy,And,14.8,,0.0794488,0.524564,139,0.4,0.3,50,2,67,NGC,,,,,
0.305139,30.0714,Gxy,And,13,,0.0798852,0.524845,140,2,1.8,,2,68,NGC,,,,,
0.305694,30.0397,Gxy,And,14.4,,0.0800306,0.524292,141,0.9,0.8,,2,69,NGC,,,,,
0.30625,30.0794,Gxy,And,13.7,,0.0801761,0.524985,142,1.4,1.2,0,2,70,NGC,,,,,
0.306528,30.0631,Gxy,And,13.5,,0.0802488,0.524699,143,1.2,1.1,,2,71,NGC,,,,,
0.306667,30.1,,And,,,0.0802851,0.525344,144,,,,1,1539,IC,,,70,NGC,
0.307861,30.0406,Gxy,And,14,,0.0805978,0.524307,145,1.1,0.9,15,2,72,NGC,,,,,
0.310944,-15.3219,Gxy,Cet,13.7,,0.0814051,-0.267418,146,1.6,1.1,145,2,73,NGC,,,,,
0.313694,30.0614,Gxy,And,15.3,,0.082125,0.52467,147,0.8,0.3,131,2,74,NGC,,,,,
0.31528,-3.27608,Gxy,Psc,14.57,,0.0825401,-0.0571784,148,1.23,1.07,146,3,6,IC,,,,,
0.316528,-22.8808,Gxy,Cet,14.5,,0.0828668,-0.399346,149,0.8,0.7,178,2,65,NGC,,,,,
0.31478,10.5947,Gxy,Psc,14.73,,0.0824092,0.184912,150,0.89,0.63,174.5,3,7,IC,,,,,
0.31742,-3.22215,Gxy,Psc,15.16,,0.0831004,-0.0562371,151,0.83,0.35,128.7,3,8,IC,,,,,
0.317917,-22.9375,Gxy,Cet,13.6,,0.0832304,-0.400335,152,1.2,0.7,32,2,66,NGC,,,,,
0.323806,6.44806,Gxy,Psc,13.3,,0.0847721,0.11254,153,1.9,1.9,,2,75,NGC,,,,,
0.327139,29.9336,Gxy,And,13,,0.0856448,0.52244,154,1,0.9,80,2,76,NGC,,,,,
0.32889,-14.1219,Gxy,Cet,15.39,,0.0861032,-0.246474,155,0.59,0.46,121.7,3,9,IC,,,,,
0.33021,23.7726,Gxy,And,14.93,,0.0864488,0.41491,156,0.98,0.41,27.5,3,1540,IC,,,,,
0.33375,-22.5325,Gxy,Cet,15.8,,0.0873755,-0.393266,157,0.4,0.4,32,2,77,NGC,,,,,
0.33387,21.9997,Gxy,And,15.57,,0.087407,0.383967,158,0.72,0.28,36,3,1541,IC,,,,,
0.33752,-2.65315,Gxy,Psc,15.08,,0.0883625,-0.0463062,159,0.95,0.32,20,3,12,IC,,,,,
0.340972,0.833611,Gxy,Psc,13.3,,0.0892663,0.0145493,160,1.1,0.7,80,2,78,NGC,,,,,
0.33975,59.2931,Gxy,Cas,11.78,,0.0889463,1.03486,161,6.61,5.89,125,3,10,IC,,,,,
0.33892,7.70032,Gxy,Psc,14.88,,0.088729,0.134396,162,1.29,0.53,161.8,3,13,IC,,,,,
0.341667,56.6,,Cas,,,0.0894481,0.987856,163,,,,1,11,IC,,,,,
0.34478,22.5923,Gxy,And,15.39,,0.0902632,0.39431,164,0.54,0.44,70,3,1542,IC,,,,,
0.34874,21.8662,Gxy,And,14.48,,0.0912999,0.381637,165,0.79,0.67,38.7,3,1543,IC,,,,,
0.350806,22.5667,Gxy,And,14,,0.0918407,0.393863,166,0.6,0.6,,2,79,NGC,,,,,
0.353028,22.3572,Gxy,And,12.5,,0.0924225,0.390207,167,1.8,1.7,,2,80,NGC,,,,,
0.353694,22.3828,Gxy,And,15.7,,0.092597,0.390653,168,0.2,0.1,84,2,81,NGC,,,,,
0.353944,-48.6283,Gxy,Phe,14.3,,0.0926624,-0.848725,169,0.9,0.7,,2,87,NGC,,,,,
0.356056,-48.6403,Gxy,Phe,14.3,,0.0932151,-0.848933,170,0.8,0.5,145,2,88,NGC,,,,,
0.35675,-48.6658,Gxy,Phe,13.5,,0.0933969,-0.849379,171,1.2,0.6,148,2,89,NGC,,,,,
0.35486,23.0909,Gxy,And,14.8,,0.0929021,0.403012,172,1.1,0.78,140,3,1544,IC,,,,,
0.355,21.9833,,And,,,0.0929388,0.383682,173,,,,1,1545,IC,,,,,
0.354833,22.4614,*,And,14,,0.0928952,0.392025,174,1.3,,,2,82,NGC,,,,,
0.35625,22.4336,Gxy,And,13,,0.093266,0.39154,175,1.5,1.5,,2,83,NGC,,,,,
0.357111,22.5119,Gxy,And,14.8,,0.0934915,0.392908,176,0.6,0.5,145,2,85,NGC,,,,,
0.355917,22.6175,*,And,17,,0.0931788,0.39475,177,,,,2,84,NGC,,,,,
